week,game_id,away,home,home_ppg,away_ppg,home_yards_ppa,away_yards_ppa,home_ypg,away_ypg,home_tom,away_tom,home_oypg,away_oypg,home_rpf,away_rpr
12,179,Green Bay,Philadelphia,27.5,19.6,8.1,7,382.4,344.7,1.2,-0.4,304.4,342.6,159.3,155.3
12,180,Pittsburgh,Indianapolis,15.8,17.6,6.7,6.1,318.8,313.2,-0.8,0.2,308.9,367.7,141.94,151.94
13,181,Buffalo,New England,20.8,27.8,7.6,7.6,318.9,410.8,0.2,0,311.8,320.2,145.54,166.96
13,182,Denver,Baltimore,23.8,13.8,6.8,6.9,350.2,315.2,0.5,0.1,330.5,304.6,154.6,140.54
13,183,NY Jets,Minnesota,24.1,21,6.6,6.7,335.8,339.2,0.7,0,398.7,307,165.06,146.84
13,184,Tennessee,Philadelphia,28.2,18.3,8.2,7.6,388.3,291.3,1.1,0.2,296.4,359.8,159.2,149.12
13,185,Cleveland,Houston,15.7,24.2,6.3,7,279.3,370.8,-0.5,-0.4,378.3,342.3,147.16,161.38
13,186,Washington,NY Giants,20.4,19.5,6.8,6.6,330.1,331.5,0.3,0,359.8,310.5,155.72,145.5
13,187,Jacksonville,Detroit,26.3,21.5,7.5,6.8,369.1,351.7,0.1,0.1,402.2,369.1,174.54,162.08
13,188,Pittsburgh,Atlanta,22.2,17.8,7.4,6.1,314.6,316.3,-0.2,0.3,380.6,362.6,158.24,151.6
13,189,Green Bay,Chicago,20.8,20.2,7.5,6.9,329.8,345.6,-0.2,-0.2,350.5,347.7,155.18,156.46
13,190,Miami,San Francisco,23.5,24.9,7.6,8.5,357.9,380.2,0.3,-0.3,283.9,344,148.32,166.76
13,191,Seattle,LA Rams,16.8,26.5,6.6,8.1,283.1,360.9,-0.6,0.3,332.9,382.9,139.64,170.32
13,192,Kansas City,Cincinnati,26,29.2,7.9,8.1,372.4,423.3,0.2,-0.3,330,343.4,161.52,175.32
13,193,LA Chargers,Las Vegas,24.3,22.7,7.1,6.5,366.9,351.2,-0.2,0.3,371.9,371.7,166.78,162.18
13,194,Indianapolis,Dallas,27.8,16.1,7,6.6,355.9,318,0.8,-1.1,309.6,314.8,152.82,142.76
13,195,New Orleans,Tampa Bay,18.1,20.4,6.3,7.6,340,343.5,0,-0.9,313.8,328.2,146.98,153.44
14,196,Las Vegas,LA Rams,16.8,23.7,6.6,7.1,283,361.9,-0.5,-0.2,330.5,365,139.16,164.28
14,197,Minnesota,Detroit,26.8,24,7.5,6.9,376.4,342,0.2,0.5,403.2,403.7,176.32,167.84
14,198,Philadelphia,NY Giants,20.5,29.7,6.8,8.1,328.1,392,0.2,1.1,365.8,297,156.52,160.16
14,199,NY Jets,Buffalo,27.2,20.3,7.5,6.6,397.1,336.8,0.2,-0.2,319.3,301.2,163.76,144.82
14,200,Cleveland,Cincinnati,25.8,23.1,7.8,6.9,371.7,368.8,0.2,-0.4,331.1,343.8,161.36,160.86
14,201,Houston,Dallas,27.7,16.2,7,6.4,359.6,283,0.6,-0.4,310.9,380.2,153.76,148.6
14,202,Jacksonville,Tennessee,18.5,22.6,7.5,6.9,296.9,357.5,-0.2,0.4,365,368.7,151.04,163.64
14,203,Baltimore,Pittsburgh,17.5,23.2,6.3,6.7,317.3,347,0,0.7,358.5,330.4,151.26,153.66
14,204,Kansas City,Denver,14.9,29.5,6.8,8.1,315.5,423.8,0.2,-0.4,314.3,341.6,142.58,175.1
14,205,Carolina,Seattle,26.3,20,8,6.6,355.2,294.2,0.2,-0.2,378.7,343.5,168.08,144.7
14,206,Tampa Bay,San Francisco,24.4,17.2,7.7,6.2,361.5,338.6,0.5,-0.2,286.8,320.7,150.04,147.66
14,207,Miami,LA Chargers,22.7,24.3,6.6,8.3,357.4,367.8,0.3,-0.2,359.9,350.8,161.26,165.14
14,208,New England,Arizona,21.3,21.2,6.1,7.5,333.8,319.6,0,0.2,354,312.6,154.02,145.72
15,209,San Francisco,Seattle,25.4,24.1,7.8,7.7,349.6,362.9,0.1,0.5,378.9,286.1,166.4,150.12
15,210,Indianapolis,Minnesota,25.1,17.5,7,6.6,354.6,319.6,0.3,-0.9,399.2,329.3,169.84,146.3
15,211,Baltimore,Cleveland,22.4,21.7,6.9,6.6,362.6,345.4,-0.2,0.5,342.4,327,159.24,152.12
15,212,Miami,Buffalo,27.5,24.6,7.5,8.3,400.6,370.4,0.1,-0.1,325.4,357.6,165.72,167.1
15,213,Philadelphia,Chicago,20.7,29.4,7.4,8.2,323.9,394.1,-0.1,0.9,355.6,293.5,154.82,159.98
15,214,Kansas City,Houston,16.8,29.6,6.3,8.1,278.4,429.4,-0.3,-0.4,388.9,332.9,149.36,174.5
15,215,Dallas,Jacksonville,23.9,28.1,7,7.1,367.9,362.3,0.3,0.6,370.7,324.6,166.56,157.32
15,216,Detroit,NY Jets,20.1,26.4,6.7,7.5,336.9,375.1,-0.2,0.3,305.4,398.5,145.84,175.06
15,217,Atlanta,New Orleans,20.4,21.9,7.8,7.1,343.8,315,-0.9,-0.1,327.6,378.3,153.78,157.22
15,218,Pittsburgh,Carolina,19.7,17.9,6.8,6.4,288.1,317.9,-0.1,0,342.1,347.8,143.56,149.52
15,219,Arizona,Denver,15.6,20.9,6.8,6,316.1,327.1,0.2,-0.1,309,351.9,141.78,151.96
15,220,New England,Las Vegas,24.1,21.4,7,7.2,358.1,319.5,-0.2,0.2,361.6,312.3,162.72,145.08
15,221,Cincinnati,Tampa Bay,17.6,26.4,6.2,7.6,342.7,362.1,-0.4,0.4,314.7,335.7,147.32,160.12
15,222,Tennessee,LA Chargers,22.3,18.2,6.6,7.4,357.9,296,0.2,-0.1,354.5,365,160.18,150.62
15,223,NY Giants,Washington,18.9,20.5,6.7,6.6,335.5,325.2,-0.1,0.3,308.9,367.3,146.04,155.86
